Title,Company,Location,Qualifications,Url
Data Scientist,Infosys Limited,"Bengaluru, Karnataka","['Microsoft Access', 'Analysis skills', 'SQL', 'SAS', 'Microsoft Powerpoint', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/Tk9jrjSdKIdb9MKVymhZPXeBrpY6QkkauHK6Bo0rUPovdm1rB-8Hxg?q=data+scientist
Data Scientist II,Mastercard,Delhi,"['Power BI', 'SQL', 'SSIS', 'Microsoft Powerpoint', 'Data visualization', 'M.Sc', ""Bachelor's degree"", 'M.B.A.', ""Master's degree""]",https://www.simplyhired.co.in/job/xoR4d-rtGlN_kmBNSeqEMU-zrK4ruMTHRgGgvv_3H9MmpGYOMGobsg?q=data+scientist
Data Scientist,Aveon InfoTech PVT.LTD,"Delhi, Delhi","['Spark', 'Pricing', 'Natural language processing', 'Deep learning', 'Communication skills', 'M.C.A.', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/f-HTeZodftCtYLn-IG3oIlh-aa1vKxrVmk4b_QFjxyzgS0UN9e21bA?q=data+scientist
Sr. Data Scientist – AI ML,Grey Chain,"Delhi, Delhi","['Machine learning', 'Natural language processing', 'AI']",https://www.simplyhired.co.in/job/OFgowb7vkils84rvO0l8cBLeDhPECXj62Q4JOdzuLDAEb6lRBx9f7Q?q=data+scientist
Data Scientist,Hewlett Packard Enterprise,"Bengaluru, Karnataka","['Power BI', 'SQL', 'VBA', 'Microsoft Excel', 'Business intelligence']",https://www.simplyhired.co.in/job/2_WOjoxTS8nM_K7Itm7IL7G5o_mOHsXzw-KHI-8-ISs1FyAjMi2evA?q=data+scientist
Data scientist,Serendipity corporate services,"Pune, Maharashtra","['Data mining', 'Natural language processing']",https://www.simplyhired.co.in/job/nAq67f8j2Deuo9TpA14ZSZ6ltXfW1C7SBtUwmS_R3h58lbYmAJFQbQ?q=data+scientist
data science internship in pune,myinternship.in,"Pune, Maharashtra","['R', 'Machine learning', 'Python', 'Data analysis skills', 'Data science']",https://www.simplyhired.co.in/job/GqfJfKgli7LRYbpSxUghZ9JBt3qhxD1MkCkkVcKpni1Tsx6kl0MunQ?q=data+scientist
Data Scientist,Urbantz,Bihar,"['SQL', 'Machine learning', 'Python', 'Statistics', 'Data mining', ""Master's degree"", 'Doctoral degree']",https://www.simplyhired.co.in/job/lL_1y4MSwUO_m8vh6MheFkKcN7NpNSP7ynADOhIqpuoM9mpE6JlTig?q=data+scientist
Big Data Architect,Univ.AI,"Chennai, Tamil Nadu","['Data modeling', 'Azure', 'SQL', 'Database development', 'NoSQL', 'M.Sc', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/MK4vIa1wt_zM3W5FPPxS_tFpq0El2ZhDCxTWIyGe4ZBhG1dz2W9rDg?q=data+scientist
Data Scientist,Aventior,"Pune, Maharashtra","['Image processing', 'Computer skills', 'NumPy', 'Pandas', 'SciPy', 'B.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/I-CNn6SGgqPIfdTUWIzouxhZAAXE7FW1JzQl8qMEjJoKrsxXtwvPEw?q=data+scientist
Paid Internship Opportunities in Machine Learning in Bangalore,TSinfo Technologies,"Bengaluru, Karnataka","['TensorFlow', 'Machine learning', 'Python', 'NumPy', 'Pandas', ""Bachelor's degree"", ""Master's degree"", 'M.C.A.']",https://www.simplyhired.co.in/job/xUWCbd4a8Vr2xbUbAsHz1QYpj5sWcnR8zol1qrjUcqlzgPqL7-Fd8Q?q=data+scientist
